	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
469	Obinna Nwobodo	ng NGA	MF	FC Cincinnati	29-189	1996	10	4	374	4.2	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
470	Aiden O'Neill	au AUS	MF	NYCFC	27-337	1998	11	11	904	10.0	0	1	1	0	0	0	2	0	0.00	0.10	0.10	0.00	0.10	Matches
471	Kevin O'Toole	ie IRL	DF	NYCFC	27-174	1998	10	10	900	10.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
472	Édier Ocampo	co COL	DF	Vancouver W'caps	22-246	2003	14	13	1,095	12.2	1	0	1	1	0	0	5	0	0.08	0.00	0.08	0.08	0.08	Matches
473	Agustin Ojeda	ar ARG	MF,FW	NYCFC	21-352	2004	15	15	1,195	13.3	3	3	6	3	0	0	1	0	0.23	0.23	0.45	0.23	0.45	Matches
474	Braian Ojeda	py PAR	MF	Orlando City	25-344	2000	15	15	1,335	14.8	0	1	1	0	0	0	1	0	0.00	0.07	0.07	0.00	0.07	Matches
475	Martín Ojeda	ar ARG	FW,MF	Orlando City	27-191	1998	15	15	1,313	14.6	11	0	11	8	3	3	1	0	0.75	0.00	0.75	0.55	0.55	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
476	Hamzat Ojediran	ng NGA	MF	Colorado Rapids	22-204	2003	13	13	944	10.5	1	0	1	1	0	0	6	0	0.10	0.00	0.10	0.10	0.10	Matches
477	Victor Olatunji	ng NGA	FW	Real Salt Lake	26-274	1999	11	2	262	2.9	1	0	1	1	0	0	0	0	0.34	0.00	0.34	0.34	0.34	Matches
478	Salvador Olivas	us USA	FW	Philadelphia Union	19-330	2006	1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
479	Cristiano Oliveira	us USA	MF	NE Revolution	18-068	2008	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
480	Kwadwo Opoku	gh GHA	FW	CF Montréal	24-328	2001	5	0	103	1.1	1	0	1	1	0	0	0	0	0.87	0.00	0.87	0.87	0.87	Matches
481	Nathan Ordaz	sv SLV	FW,MF	LAFC	22-145	2004	9	6	502	5.6	2	0	2	2	0	0	0	0	0.36	0.00	0.36	0.36	0.36	Matches
482	Sergio Oregel	us USA	MF	Chicago Fire	21-021	2005	3	0	29	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
483	Jaziel Orozco	us USA	DF,MF	St. Louis City	22-004	2004	9	9	712	7.9	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
484	Jonathan Osorio	ca CAN	MF	Toronto FC	33-359	1992	14	14	1,260	14.0	0	3	3	0	0	0	5	0	0.00	0.21	0.21	0.00	0.21	Matches
485	Luis Otávio	br BRA	MF	Orlando City	19-055	2007	10	5	417	4.6	1	0	1	1	0	0	2	0	0.22	0.00	0.22	0.22	0.22	Matches
486	Javier Otero	ve VEN	GK	Orlando City	23-200	2002	2	1	162	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
487	Prince Owusu	gh GHA	FW	CF Montréal	29-150	1997	14	13	1,084	12.0	9	6	15	5	4	4	5	0	0.75	0.50	1.25	0.42	0.91	Matches
488	Woobens Pacius	ht HAI	FW	Nashville SC	25-026	2001	11	3	243	2.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
489	Devin Padelford	us USA	MF,DF	Minnesota Utd	23-154	2003	12	4	496	5.5	0	1	1	0	0	0	0	0	0.00	0.18	0.18	0.00	0.18	Matches
490	Joseph Paintsil	gh GHA	FW,MF	LA Galaxy	28-125	1998	11	10	850	9.4	3	2	5	3	0	0	1	0	0.32	0.21	0.53	0.32	0.53	Matches
491	Jeison Palacios	co COL	DF	Nashville SC	32-078	1994	11	11	978	10.9	1	0	1	1	0	0	2	0	0.09	0.00	0.09	0.09	0.09	Matches
492	Sergi Palencia	es ESP	DF	LAFC	30-075	1996	9	8	624	6.9	1	0	1	1	0	0	2	0	0.14	0.00	0.14	0.14	0.14	Matches
