	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
48	Valentin Atangana Edoa	fr FRA	MF	Al-Ahli	19	2005	23	23	1,885	20.9	5	0	5	5	0	0	7	0	0.24	0.00	0.24	0.24	0.24	Matches
49	Abdulquddus Atiah	sa KSA	GK	Al-Taawoun	28	1997	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
50	Abdulrazaq Awaji	sa KSA	FW	Al-Hazem	17	2007	2	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Abdulmalek Al Ayiri	sa KSA	DF,MF	Neom	21	2003	16	12	986	11.0	1	0	1	1	0	0	6	0	0.09	0.00	0.09	0.09	0.09	Matches
52	Ali Azaizeh	jo JOR	MF,FW	Al-Shabab	21	2004	15	8	628	7.0	2	1	3	2	0	0	0	0	0.29	0.14	0.43	0.29	0.43	Matches
53	Saeed Ba Atiyah		MF,DF	Al-Fateh			31	29	2,508	27.9	1	0	1	1	0	0	9	0	0.04	0.00	0.04	0.04	0.04	Matches
54	Aboubacar Bah	gn GUI	MF	Al-Hazem	19	2005	27	24	2,068	23.0	3	2	5	3	0	0	3	0	0.13	0.09	0.22	0.13	0.22	Matches
55	Hattan Bahebri	sa KSA	MF,FW	Al Kholood Saudi Club	33	1992	31	29	2,224	24.7	5	5	10	5	0	0	7	1	0.20	0.20	0.40	0.20	0.40	Matches
56	Essam Bahri	sa KSA	DF	Al-Riyadh SC	20	2005	7	0	52	0.6	0	1	1	0	0	0	0	0	0.00	1.73	1.73	0.00	1.73	Matches
57	Ahmed Bahusayn	sa KSA	MF	Al-Taawoun	24	2001	13	1	304	3.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
58	Ahmed Bamasud	sa KSA	DF	Al-Fayha	29	1995	33	33	2,782	30.9	0	1	1	0	0	0	4	0	0.00	0.03	0.03	0.00	0.03	Matches
59	Amadou Bamba		MF	Al-Hazem			5	0	42	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
60	Mohammed Al Baqawi	sa KSA	DF	Al-Fayha	30	1995	31	31	2,690	29.9	0	2	2	0	0	0	4	0	0.00	0.07	0.07	0.00	0.07	Matches
61	Ibrahim Barabaa		MF	Al Kholood Saudi Club			1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
62	Yoann Barbet	fr FRA	DF	Al-Riyadh SC	32	1993	32	32	2,804	31.2	2	1	3	2	0	0	3	0	0.06	0.03	0.10	0.06	0.10	Matches
