	Standard	
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
449	Awn Al Saluli	sa KSA	DF	Neom	26	1998	2.8	0	1	0	0.0	0.35	0.00	0.00		0	0	Matches
450	Abdulrahman Al Sanbi	sa KSA	GK	Al-Ahli	24	2001	8.0	0	0	0		0.00	0.00			0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
451	Samir Santos	br BRA	DF	Al-Najma	30	1994	29.2	3	8	3	37.5	0.27	0.10	0.38	1.00	0	0	Matches
452	Mohammed Al Sarnoukh		DF	Al-Fateh			2.7	0	3	2	66.7	1.10	0.73	0.00	0.00	0	0	Matches
453	Ramzi Sawlan	sa KSA	DF	Al Kholood Saudi Club	27	1998	13.6	0	1	0	0.0	0.07	0.00	0.00		0	0	Matches
454	Amir Sayoud	dz ALG	MF,FW	Al-Hazem	34	1990	12.0	3	25	8	32.0	2.08	0.67	0.08	0.25	1	2	Matches
455	Basil Al Sayyali	sa KSA	MF	Al-Shabab	24	2001	5.1	0	2	1	50.0	0.39	0.20	0.00	0.00	0	0	Matches
456	Basil Al Sayyali	sa KSA	MF	Al-Hazem	24	2001	11.9	0	11	0	0.0	0.92	0.00	0.00		0	0	Matches
457	Amine Sbai	ma MAR	MF	Al-Fateh	24	2000	0.2	0	1	1	100.0	4.50	4.50	0.00	0.00	0	0	Matches
458	Bart Schenkeveld	nl NED	DF	Al-Khaleej	33	1991	16.3	0	6	0	0.0	0.37	0.00	0.00		0	0	Matches
459	Saikou Secka		FW	Al-Fayha			0.0	0	1	0	0.0	90.00	0.00	0.00		0	0	Matches
460	Moustapha Sembene		DF	Al-Taawoun			2.0	0	0	0		0.00	0.00			0	0	Matches
461	Alfa Semedo	gw GNB	MF	Al-Fayha	27	1997	29.1	4	40	7	17.5	1.37	0.24	0.10	0.57	0	0	Matches
462	Sergi	es ESP	DF,MF	Al-Riyadh SC	33	1992	16.7	1	7	2	28.6	0.42	0.12	0.14	0.50	0	0	Matches
463	Ali Al Shaafi		DF	Al-Khaleej			0.0	0	0	0		0.00	0.00			0	0	Matches
464	Yasser Al-Shahrani	sa KSA	DF	Al-Qadsiah	33	1992	12.5	0	3	1	33.3	0.24	0.08	0.00	0.00	0	0	Matches
465	Abdulelah Al Shamary	sa KSA	MF	Al-Najma	33	1992	12.3	0	4	1	25.0	0.32	0.08	0.00	0.00	0	0	Matches
466	Mohammed Al Shammari	sa KSA	GK	Al Kholood Saudi Club	33	1991	2.0	0	0	0		0.00	0.00			0	0	Matches
467	Yasser Al Shammari		MF	Al-Ettifaq			0.0	0	0	0		0.00	0.00			0	0	Matches
468	Yousef Al Shammari	sa KSA	FW	Al-Hazem	27	1997	11.6	5	27	15	55.6	2.32	1.29	0.11	0.20	2	2	Matches
469	Ahmed Al Shamrani	sa KSA	DF,MF	Al-Hazem	23	2002	12.6	0	5	1	20.0	0.40	0.08	0.00	0.00	0	0	Matches
470	Abdullah Al Shanqiti	sa KSA	DF	Al-Hazem	26	1998	13.7	1	1	1	100.0	0.07	0.07	1.00	1.00	0	0	Matches
471	Hamed Al Shanqiti	sa KSA	GK	Al-Ittihad	20	2005	1.0	0	0	0		0.00	0.00			0	0	Matches
472	Ahmed Sharahili	sa KSA	DF	Al-Ittihad	31	1994	11.1	0	4	0	0.0	0.36	0.00	0.00		0	0	Matches
473	Riyadh Sharahili	sa KSA	MF	Damac	32	1993	16.2	0	7	1	14.3	0.43	0.06	0.00	0.00	0	0	Matches
474	Nader Al-Sharari	sa KSA	DF	Al-Nassr	29	1996	0.5	0	0	0		0.00	0.00			0	0	Matches
475	Majed Sharrahi		MF	Al-Najma			0.0	0	0	0		0.00	0.00			0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
476	Saleh Al-Shehri	sa KSA	FW	Al-Ittihad	31	1993	4.8	3	20	6	30.0	4.19	1.26	0.10	0.33	1	1	Matches
477	Sultan Al Shehri	sa KSA	DF	Al Kholood Saudi Club	30	1995	19.4	0	10	3	30.0	0.51	0.15	0.00	0.00	0	0	Matches
478	Yahya Al-Shehri	sa KSA	MF	Al-Riyadh SC	35	1990	5.6	0	4	0	0.0	0.72	0.00	0.00		0	0	Matches
479	Muhannad Shenqeeti	sa KSA	DF,MF	Al-Ittihad	26	1999	25.1	3	30	13	43.3	1.20	0.52	0.10	0.23	0	0	Matches
480	Ibrahim Al-Shoeil	sa KSA	DF	Al-Taawoun	30	1994	0.1	0	0	0		0.00	0.00			0	0	Matches
481	Talal Al Shubili		MF	Al-Riyadh SC			0.7	0	2	0	0.0	3.00	0.00	0.00		0	0	Matches
482	Saad Al Shurafa	sa KSA	FW	Al-Fateh	20	2004	1.5	0	4	0	0.0	2.71	0.00	0.00		0	0	Matches
483	Mohammed Al Shwirekh	sa KSA	DF	Al-Shabab	26	1998	16.1	0	8	3	37.5	0.50	0.19	0.00	0.00	0	0	Matches
484	Hussain Al Sibyani	sa KSA	DF,MF	Al-Shabab	24	2001	5.5	0	3	0	0.0	0.55	0.00	0.00		0	0	Matches
485	Meshal Sibyani	sa KSA	DF	Al-Ettifaq	24	2001	1.2	0	1	0	0.0	0.83	0.00	0.00		0	0	Matches
486	Eyad Sidi Mohamed	sa KSA	MF	Al-Qadsiah	18	2006	0.3	1	1	1	100.0	3.91	3.91	1.00	1.00	0	0	Matches
