	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
54	José Arroyo	mx MEX	FW	Toluca	19	2006	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
55	Gerardo Arteaga	mx MEX	DF,MF	Monterrey	26	1998	31	24	2,240	24.9	1	1	2	1	0	0	2	0	0.04	0.04	0.08	0.04	0.08	Matches
56	Víctor Arteaga	mx MEX	MF,FW	Toluca	21	2004	3	3	154	1.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
57	Ali Ávila	mx MEX	FW	Querétaro	21	2003	24	21	1,802	20.0	11	1	12	9	2	2	5	1	0.55	0.05	0.60	0.45	0.50	Matches
58	Ettson Ayon	mx MEX	FW	FC Juárez	24	2001	12	2	335	3.7	2	0	2	1	1	1	1	0	0.54	0.00	0.54	0.27	0.27	Matches
59	Ettson Ayon	mx MEX	FW	León	24	2001	8	3	360	4.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
60	Angel Azuaje	ve VEN	DF	UNAM	20	2004	19	15	1,371	15.2	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
61	Tomás Badaloni	ar ARG	FW	Necaxa	25	2000	33	23	2,110	23.4	8	2	10	8	0	0	1	0	0.34	0.09	0.43	0.34	0.43	Matches
62	Kevin Balanta	co COL	DF	Santos Laguna	28	1997	29	28	2,440	27.1	1	0	1	1	0	0	10	0	0.04	0.00	0.04	0.04	0.04	Matches
63	Carlos Baltazar	mx MEX	MF	Puebla	28	1997	23	6	842	9.4	4	3	7	4	0	0	0	0	0.43	0.32	0.75	0.43	0.75	Matches
64	Robson Bambu	br BRA	DF	Atlético San Luis	27	1997	18	16	1,404	15.6	0	1	1	0	0	0	2	1	0.00	0.06	0.06	0.00	0.06	Matches
65	Fidel Barajas	mx MEX	MF	Atlético San Luis	19	2006	10	1	178	2.0	1	0	1	1	0	0	0	0	0.51	0.00	0.51	0.51	0.51	Matches
66	Diego Barbosa	mx MEX	DF	Toluca	28	1996	28	19	1,765	19.6	1	0	1	1	0	0	5	0	0.05	0.00	0.05	0.05	0.05	Matches
67	Jaine Barreiro	co COL	DF	León	31	1994	31	31	2,692	29.9	0	0	0	0	0	0	12	1	0.00	0.00	0.00	0.00	0.00	Matches
68	Pablo Barrera	mx MEX	MF,FW	Querétaro	38	1987	11	6	535	5.9	1	2	3	0	1	2	3	0	0.17	0.34	0.50	0.00	0.34	Matches
69	Sergio Barreto	ar ARG	DF	Pachuca	26	1999	31	31	2,778	30.9	1	1	2	1	0	0	9	1	0.03	0.03	0.06	0.03	0.06	Matches
70	Bruno Barticciotto	cl CHI	FW	Santos Laguna	24	2001	11	7	613	6.8	2	1	3	1	1	2	2	1	0.29	0.15	0.44	0.15	0.29	Matches
