Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
46,Fletcher Bank,us USA,MF,Toronto FC,,2003.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
47,Jesús Barea,es ESP,FW,Real Salt Lake,,2002.0,0.2,0,1,0,0.0,5.29,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
48,Tai Baribo,il ISR,FW,D.C. United,,1998.0,10.2,8,24,11,45.8,2.34,1.07,0.25,0.55,2,2,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
49,Tom Barlow,us USA,"FW,MF",FC Cincinnati,,1995.0,6.2,5,13,9,69.2,2.11,1.46,0.38,0.56,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
50,Leonardo Barroso,pt POR,"DF,MF",Chicago Fire,,2005.0,6.0,0,5,2,40.0,0.83,0.33,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
51,Jacob Bartlett,us USA,MF,Sporting KC,,2005.0,9.3,1,1,1,100.0,0.11,0.11,1.0,1.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
52,Lucas Bartlett,us USA,DF,D.C. United,,1997.0,15.0,2,14,5,35.7,0.94,0.33,0.14,0.4,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
53,Ethan Bartlow,us USA,DF,Sporting KC,,2000.0,8.5,0,3,1,33.3,0.35,0.12,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
54,Cole Bassett,us USA,MF,Portland Timbers,,2001.0,9.2,2,15,7,46.7,1.62,0.76,0.13,0.29,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
55,Zorhan Bassong,ca CAN,MF,Sporting KC,,1999.0,2.6,0,6,1,16.7,2.28,0.38,0.0,0.0,0,0,Matches,0.0,0.0,0.0,mls_shooting_clean.csv
