Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
50,Leonardo Barroso,pt POR,"DF,MF",Chicago Fire,,2005.0,7,7,543,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
51,Jacob Bartlett,us USA,MF,Sporting KC,,2005.0,12,9,834,9.3,1,0,1,1,0,0,2,0,0.11,0.0,0.11,0.11,0.11,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
52,Lucas Bartlett,us USA,DF,D.C. United,,1997.0,15,15,1346,15.0,2,0,2,2,0,0,4,0,0.13,0.0,0.13,0.13,0.13,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
53,Ethan Bartlow,us USA,DF,Sporting KC,,2000.0,9,9,765,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
54,Cole Bassett,us USA,MF,Portland Timbers,,2001.0,10,10,831,9.2,2,2,4,2,0,0,1,0,0.22,0.22,0.43,0.22,0.43,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
55,Zorhan Bassong,ca CAN,MF,Sporting KC,,1999.0,5,3,237,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
56,Josh Bauer,us USA,DF,Nashville SC,,1998.0,9,3,287,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
57,Timo Baumgartl,de GER,DF,St. Louis City,,1996.0,14,14,1260,14.0,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
58,Julián Bazán,co COL,DF,RB New York,,2005.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
59,Tanner Beason,us USA,DF,NE Revolution,,1997.0,5,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
