Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
101,Omar Campos,mx MEX,"MF,DF",Cruz Azul,23.0,2002.0,29,15,1446,16.1,2,1,3,2,0,0,0,0,0.12,0.06,0.19,0.12,0.19,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
102,Sergio Canales,es ESP,"MF,FW",Monterrey,34.0,1991.0,27,24,2139,23.8,12,5,17,10,2,4,3,0,0.5,0.21,0.72,0.42,0.63,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
103,Alexis Canelo,ar ARG,FW,Puebla,33.0,1992.0,6,4,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
104,Manuel Capasso,ar ARG,DF,Atlas,29.0,1996.0,17,17,1530,17.0,2,0,2,2,0,0,2,0,0.12,0.0,0.12,0.12,0.12,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
105,Michael Carcelen,ec ECU,MF,Querétaro,28.0,1997.0,15,5,531,5.9,0,1,1,0,0,0,4,0,0.0,0.17,0.17,0.0,0.17,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
106,Luis Cárdenas,mx MEX,GK,Monterrey,31.0,1993.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
107,Carlo,es ESP,MF,Querétaro,24.0,2001.0,24,14,1262,14.0,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
108,Jan Carmona,mx MEX,MF,FC Juárez,21.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
109,Luis Carmona,mx MEX,DF,FC Juárez,18.0,2007.0,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
110,Julián Carranza,ar ARG,FW,Necaxa,25.0,2000.0,6,4,305,3.4,3,0,3,2,1,1,3,1,0.89,0.0,0.89,0.59,0.59,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
111,Adalberto Carrasquilla,pa PAN,MF,UNAM,26.0,1998.0,32,27,2420,26.9,2,5,7,2,0,0,10,0,0.07,0.19,0.26,0.07,0.26,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
112,Jordan Carrillo,mx MEX,MF,UNAM,23.0,2001.0,16,14,970,10.8,3,2,5,3,0,0,2,0,0.28,0.19,0.46,0.28,0.46,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
113,Jordan Carrillo,mx MEX,"MF,FW",Santos Laguna,23.0,2001.0,13,2,359,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
114,Luis Carrillo,mx MEX,DF,Mazatlán,20.0,2005.0,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
115,Guilherme Carvalho,br BRA,MF,FC Juárez,25.0,1999.0,29,14,1558,17.3,7,2,9,6,1,1,7,0,0.4,0.12,0.52,0.35,0.46,Matches,0.0,0.0,0.0,0.0,liga_mx_standard_clean.csv
