Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
351,Faisal Al Mutairi,sa KSA,MF,Al-Najma,29.0,1996.0,9,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
352,Saad Al Muthary,sa KSA,MF,Al-Hilal,18.0,2006.0,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
353,Eid Al Muwallad,sa KSA,MF,Al-Ahli,23.0,2001.0,17,0,178,2.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
354,Kévin N'Doram,fr FRA,MF,Al Kholood Saudi Club,29.0,1996.0,22,18,1444,16.0,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
355,Abdulrahman Nabza,,MF,Al-Ettifaq,,,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
356,Nacho,es ESP,DF,Al-Qadsiah,35.0,1990.0,34,34,3047,33.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
357,Ammar Al-Najar,sa KSA,MF,Al-Najma,28.0,1997.0,3,0,41,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
358,Salem Al Najdi,sa KSA,DF,Al-Nassr,22.0,2003.0,12,0,72,0.8,0,1,1,0,0,0,1,0,0.0,1.25,1.25,0.0,1.25,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
359,Yahya Naji,sa KSA,"FW,MF",Damac,26.0,1999.0,21,7,652,7.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
360,Raghid Najjar,sa KSA,GK,Al-Nassr,28.0,1996.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
361,Rakan Najjar,sa KSA,GK,Al Okhdood SC,30.0,1995.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
362,Abdulwahid Al Nakhli,,MF,Al-Najma,,,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
363,Ahmed Al Nakhli,sa KSA,DF,Al-Hazem,23.0,2002.0,27,26,2180,24.2,1,1,2,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
364,Nahitan Nández,uy URU,MF,Al-Qadsiah,29.0,1995.0,33,33,2905,32.3,8,10,18,8,0,0,7,0,0.25,0.31,0.56,0.25,0.56,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
365,Khaled Narey,tg TOG,"MF,FW",Al Okhdood SC,31.0,1994.0,22,20,1723,19.1,4,3,7,4,0,1,1,0,0.21,0.16,0.37,0.21,0.37,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
366,Awad Al Nashri,sa KSA,MF,Al-Ittihad,23.0,2002.0,16,8,691,7.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
367,Bander Nasser,sa KSA,MF,Al-Khaleej,35.0,1990.0,9,1,223,2.5,0,1,1,0,0,0,0,0,0.0,0.4,0.4,0.0,0.40,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
368,Saad Al Nasser,sa KSA,DF,Al-Nassr,24.0,2001.0,17,7,639,7.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,saudi_standard_clean.csv
